year,iso2,msi_raw,msi_smoothed
1966,CA,0.7507028357106827,0.7707736770141762
1967,CA,0.7430573527653709,0.7736984649015097
1968,CA,0.7439095068898234,0.77188287613802
1969,CA,0.7379328447314423,0.7521135454218999
1970,CA,0.7414602325647566,0.7434125545324152
1971,CA,0.7682918356339727,0.7469303545170731
1972,CA,0.7282660407655241,0.7439720921171038
1973,CA,0.6456148766671864,0.7243131660725763
1974,CA,0.4609067897341158,0.6689079550731112
1975,CA,0.484635493881571,0.617543007336474
1976,CA,0.5978070217911657,0.5834460445679126
1977,CA,0.5774343730964862,0.553279711034105
1978,CA,0.5749020149778088,0.5391371386962295
1979,CA,0.6004459570406349,0.5670449721575334
1980,CA,0.5797898598979677,0.5860758453608127
1981,CA,0.45002697621438326,0.5565198362454561
1982,CA,0.41978642549482237,0.5249902467251234
1983,CA,0.6790362600448843,0.5458170957385385
1984,CA,0.652049977648745,0.5561378998601605
1985,CA,0.6841767071186695,0.5770152693043009
1986,CA,0.5649666403718292,0.6000032021357901
1987,CA,0.5990619029685522,0.635858297630536
1988,CA,0.5674516358212773,0.6135413727858147
1989,CA,0.566099487299073,0.5963512747158802
1990,CA,0.49874055047574906,0.5592640433872962
1991,CA,0.476700899091559,0.5416108951312422
1992,CA,0.5084141533859488,0.5234813452147214
1993,CA,0.5471941658439082,0.5194298512192476
1994,CA,0.5904051772585347,0.5242909892111399
1995,CA,0.5957536530621916,0.5436936097284285
1996,CA,0.6515962896751726,0.5786726878451512
1997,CA,0.661850493918321,0.6093599559516256
1998,CA,0.6038719922544618,0.6206955212337364
1999,CA,0.6993808775634407,0.6424906612947175
2000,CA,0.8358874339244446,0.6905174174671681
2001,CA,0.6895801588069316,0.6981141912935199
2002,CA,0.6843819967971536,0.7026204918692864
2003,CA,0.6828031191016637,0.7184067172387268
2004,CA,0.7495280306251995,0.7284361478510786
2005,CA,0.7510067026595605,0.7114600015981017
2006,CA,0.7147293514341311,0.7164898401235417
2007,CA,0.6837906655327062,0.7163715738706522
2008,CA,0.6457614255182942,0.7089632351539783
2009,CA,0.40231704120751766,0.63952103727044185
2010,CA,0.5622876251583844,0.6017772217702066
2011,CA,0.5946063289794152,0.5777526172792635
