year,iso2,msi_raw,msi_smoothed,sc
1966,CA,0.8006627512323403,0.7789862676698999,ic
1967,CA,0.7680277839163019,0.7859772687888242,ic
1968,CA,0.7623357635529199,0.7871283242202561,ic
1969,CA,0.7705797692650909,0.7750983293940373,ic
1970,CA,0.7004108366420874,0.7604033809217481,ic
1971,CA,0.6981877439718132,0.7399083794696427,ic
1972,CA,0.733901707577913,0.733083164201965,ic
1973,CA,0.6238644741004418,0.7053889063114693,ic
1974,CA,0.42004533245546105,0.6352820189495434,ic
1975,CA,0.4531046273899475,0.5858207770991155,ic
1976,CA,0.5639626139517024,0.5589757510950933,ic
1977,CA,0.4991965476427168,0.5120347191080541,ic
1978,CA,0.48683375008927676,0.4846285743058211,ic
1979,CA,0.5308643151523222,0.5067923708451934,ic
1980,CA,0.4963506470003659,0.515441574767277,ic
1981,CA,0.411972283882978,0.48504350875353214,ic
1982,CA,0.36207171782365377,0.4576185427897195,ic
1983,CA,0.6593003115669325,0.4921118550852507,ic
1984,CA,0.6368316076973755,0.5133053135942613,ic
1985,CA,0.6616819765942032,0.5463715795130287,ic
1986,CA,0.5845383999399663,0.5808848027244264,ic
1975,DE,0.5287652709881044,0.6625255086358725,ic
1976,DE,0.6625474003350905,0.654742207036346,ic
1977,DE,0.6426215702166945,0.6295501353646908,ic
1978,DE,0.5977638588486036,0.6062903714288652,ic
1979,DE,0.5643916627396343,0.5992179526256253,ic
1980,DE,0.4814629306510989,0.5897574845582242,ic
1981,DE,0.44652359567830513,0.5465527236268672,ic
1982,DE,0.4040732683627378,0.49884306325607586,ic
1983,DE,0.4549836891248882,0.4702870293113328,ic
1984,DE,0.411166228933601,0.4396419425501262,ic
1985,DE,0.5007906128828804,0.44350747899648246,ic
1986,DE,0.5495093140350515,0.4641046226678318,ic
1973,FR,0.7415654607699358,0.7209759977469877,ic
1974,FR,0.5100209630031406,0.66142951415074,ic
1975,FR,0.6123918085521944,0.6390691233774224,ic
1976,FR,0.6015903203154342,0.6288818079662901,ic
1977,FR,0.5803090275174483,0.6091755160316308,ic
1978,FR,0.700370047288885,0.6009364333354206,ic
1979,FR,0.6638767230370322,0.631707585342199,ic
1980,FR,0.44506065101404146,0.5982413538345683,ic
1981,FR,0.4263985585544494,0.5632030014823715,ic
1982,FR,0.3852389066979631,0.5241889773184744,ic
1983,FR,0.47249281292313905,0.4786135304453252,ic
1984,FR,0.4301810969629246,0.43187440523050363,ic
1985,FR,0.4480013210674101,0.43246253924117734,ic
1986,FR,0.5404502349007255,0.4552728745104325,ic
1967,GB,0.7940739009591053,0.8266851323883138,ic
1968,GB,0.9004576133638056,0.8333513093437078,ic
1969,GB,0.8355923382936312,0.8318105293319457,ic
