year,iso2,msi_raw,msi_smoothed
1966,CA,0.7683054821193182,0.7936667748762724
1967,CA,0.7478048732692059,0.7908793909093557
1968,CA,0.7335852624835393,0.7821696360202138
1969,CA,0.7281150858108999,0.7580407751195332
1970,CA,0.702740263990161,0.736110193534625
1971,CA,0.7352542596577205,0.7294999490423055
1972,CA,0.7036558912162683,0.7206701526317181
1973,CA,0.5980854640327913,0.6935701929415684
1974,CA,0.40921214624238544,0.6297896050278655
1975,CA,0.4575618848584281,0.5807539292015189
1976,CA,0.56157454642383,0.5460179865547408
1977,CA,0.5344031830539161,0.5121674449222704
1978,CA,0.5344529789568926,0.49944094790709065
1979,CA,0.5556872557048701,0.5287359697995876
1980,CA,0.5208861633449074,0.5414008254968834
1981,CA,0.45248352030614303,0.519582620273346
1982,CA,0.3947297555725924,0.4916479347770813
1983,CA,0.6764603405470033,0.5200494070951034
1984,CA,0.6542548575859242,0.5397629274713143
1985,CA,0.6987485871285752,0.5753354122280478
1986,CA,0.6019501252975572,0.6052287332263306
1987,CA,0.6334306213137821,0.6529689063745686
1988,CA,0.6158039290780155,0.640837624080771
1989,CA,0.6249558842708984,0.6349778294177659
1990,CA,0.5566444547733869,0.6065570029467282
1991,CA,0.5461781709888252,0.5954026120849818
1992,CA,0.5723933264988161,0.5831951531219886
1993,CA,0.6087351991535327,0.581781407137092
1994,CA,0.6377279300659247,0.5843358162960973
1995,CA,0.6286909825386019,0.5987451218491403
1996,CA,0.66382587856723,0.6222746633648212
1997,CA,0.6849015400325387,0.6447763060715657
1998,CA,0.6327253039283978,0.6495743270265387
1999,CA,0.7258988365515155,0.6672085083236569
2000,CA,0.8429059716460777,0.710051506145152
2001,CA,0.7005576775818474,0.7173978659480754
2002,CA,0.6981529154657465,0.7200481410347169
2003,CA,0.7028450787658471,0.7340720960022068
2004,CA,0.7562530182918983,0.7401429323502835
2005,CA,0.7596673860683907,0.723495215234746
2006,CA,0.7301559583777826,0.729414871393933
2007,CA,0.7010680461493042,0.7299978975306446
2008,CA,0.675650339552987,0.7245589496880726
2009,CA,0.48128060163332864,0.6695644663563587
2010,CA,0.6455469978336034,0.6467403887094012
2011,CA,0.6604670848388996,0.6328026140016245
2012,CA,0.6028468995145632,0.6131583846746763
2013,CA,0.6164931871721833,0.6013269541985156
2014,CA,0.6755418977039785,0.6401792134126456
2015,CA,0.5873709714609677,0.6285440081381185
2016,CA,0.5759115048168095,0.6116328921337005
2017,CA,0.6242134281013585,0.6159061978510596
2018,CA,0.646518144562984,0.6219111893292196
2019,CA,0.6312413207079663,0.6130510739300172
1975,DE,0.5663927440270893,0.5445947598720483
1976,DE,0.6528580504143651,0.5682682435740438
1977,DE,0.5885529035538182,0.5657033672164424
1978,DE,0.5996819834490921,0.5771240454357185
1979,DE,0.5189209589624303,0.585281328081359
1980,DE,0.45820113441691857,0.5636430061593248
1981,DE,0.43982717274732674,0.5210368306259172
1982,DE,0.5018129059781038,0.5036888311107743
1983,DE,0.5978925902768603,0.5033309524763279
1984,DE,0.5725631952993417,0.5140593997437102
1985,DE,0.6400437888044057,0.5504279306212077
1986,DE,0.6448440000507547,0.5914312960818933
1987,DE,0.535208701025107,0.5981104550912939
1988,DE,0.6281116514410648,0.6041542673241349
1989,DE,0.7086133302886244,0.6313642943219915
1990,DE,0.6394814847673049,0.6312518335145713
1991,DE,0.5619086098222501,0.6146647554688703
1992,DE,0.5000291915552387,0.6076288535748967
1993,DE,0.4800392474532652,0.5780143727773368
1994,DE,0.5745017039459043,0.5511920475087928
1995,DE,0.5677673937185649,0.5368492292990448
1996,DE,0.5275788149171341,0.5299832703180215
1997,DE,0.5736920081518866,0.544715833637351
1998,DE,0.5359029141004628,0.5558885669667906
1999,DE,0.49679926612912306,0.5403480794034343
2000,DE,0.5618385691217108,0.5391623144840636
2001,DE,0.48624777207742587,0.530896105916122
2002,DE,0.45504878404963534,0.5071674610956718
